_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest POI,Distance(Km)
4772279,2017-06-21 16:16:49.000,CA,AB,Whitecourt,54.15085,-115.67225,POI1 or POI2,3803.0633777413677
4772485,2017-06-21 13:16:51.157,CA,BC,Kamloops,50.6748,-120.329,POI1 or POI2,4185.4817753896
4772865,2017-06-21 10:16:49.207,CA,AB,Airdrie,51.30437,-114.04778,POI1 or POI2,3741.4451630562107
4773403,2017-06-21 00:16:53.243,CA,AB,Calgary,50.9259,-113.9566,POI1 or POI2,3742.6875711875145
4773593,2017-06-21 20:16:51.240,CA,AB,Edmonton,53.4487,-113.402,POI1 or POI2,3664.079943591662
4774169,2017-06-21 19:16:53.223,CA,AB,Calgary,51.1204,-113.93247,POI1 or POI2,3737.1362263224037
4774237,2017-06-21 17:16:53.343,CA,BC,Anmore,49.31574,-122.85024,POI1 or POI2,4400.390616533132
4774371,2017-06-21 04:16:54.533,CA,BC,Vancouver,49.2577,-123.132,POI1 or POI2,4421.807829247682
4774689,2017-06-21 10:16:57.023,CA,MB,Winnipeg,49.90991,-97.14193,POI1 or POI2,2571.9596850908047
4774777,2017-06-21 15:16:57.610,CA,AB,Edmonton,53.5395,-113.425,POI1 or POI2,3664.4830764249623
4774885,2017-06-21 19:16:59.013,CA,AB,Calgary,51.0834,-114.094,POI1 or POI2,3748.961252943428
4774953,2017-06-21 18:17:00.550,CA,AB,Calgary,51.03891,-114.08001,POI1 or POI2,3748.8931570860104
4774998,2017-06-21 22:17:00.253,CA,MB,Winnipeg,49.89515,-97.15281,POI1 or POI2,2572.7803462048914
